Subject,Class,Topic,Questions
Chemistry,Form One,NTRODUCTION TO Chemistry,rainstorm the meaning of Chemistry
Chemistry,Form One,NTRODUCTION TO Chemistry,explain the concept of Chemistry
Chemistry,Form One,NTRODUCTION TO Chemistry,mention material and objects made by the application of Chemistry?
Chemistry,Form One,NTRODUCTION TO Chemistry,mention areas where Chemistry is applied.
Chemistry,Form One,NTRODUCTION TO Chemistry,state the importance of Chemistry in daily life
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,state Chemistry
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain the concept of laboratory rules?
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain the safety  measures needed to avoid accidents in a Chemistry  laboratory?
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,identify the possible causes of accidents in a Chemistry labaoratory?
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,Explain the use of each item in the First Aid Kit?
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain how to render First Aid in a real situation
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,list the apparatus used in a Chemistry laboratory.
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,categorize Chemistry laboratory apparatus according to their uses.
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain the concept of warning signs
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,draw and label the basic chemical warning signs
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,name different heat sources which can be used in a Chemistry laborator
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,xplain the functions of a Bunsen burner.
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,state the uses of both luminous and non-luminous flames
Chemistry,Form One,THE SCIENTIFIC PROCEDURE,explain the concept of scientific procedure
Chemistry,Form One,THE SCIENTIFIC PROCEDURE,explain the importance of the Scientific Procedure
Chemistry,Form One,THE SCIENTIFIC PROCEDURE,describe each step of the scientific procedure
Chemistry,Form One,MATTER,explain the concept of matter.
Chemistry,Form One,MATTER,xplain with examples the meaning of matter?
Chemistry,Form One,MATTER,describe each of the three states of matter?
Chemistry,Form One,MATTER,ecplain processes involved in hange onestate of matter to another?
Chemistry,Form One,MATTER,Explain the importance of changing one state of matter to  another
Chemistry,Form One,MATTER,explain istillationprocess to form pure components of a mixture
Chemistry,Form One,MATTER,explain on melting of metals to form alloys
Chemistry,Form One,MATTER,describe the characteristics of a physical change
Chemistry,Form One,MATTER,demonstrate physical changes of matter experimentally.
Chemistry,Form One,MATTER,describe the characteristics of a chemical change.
Chemistry,Form One,MATTER,explain the concept of an element.
Chemistry,Form One,MATTER,assign names and symbols to
Chemistry,Form One,MATTER,chemical elements.
Chemistry,Form One,MATTER,differentiate elements from other substances.
Chemistry,Form One,ELEMENTS AND COMPOUNDS,explain the concept of compounds and mixtures.
Chemistry,Form One,ELEMENTS AND COMPOUNDS,prepare a binary compound.
Chemistry,Form One,ELEMENTS AND COMPOUNDS,compare the properties of a compound with those of its constituent elements.
Chemistry,Form One,ELEMENTS AND COMPOUNDS,explain the concept of a mixture
Chemistry,Form One,ELEMENTS AND COMPOUNDS,classify mixtures into solutions suspensions and emulsions.
