Subject,Class,Topic,Questions,category,answers
Chemistry,Form One,NTRODUCTION TO Chemistry,rainstorm the meaning of Chemistry,Essay,
Chemistry,Form One,NTRODUCTION TO Chemistry,explain the concept of Chemistry,Short Note,
Chemistry,Form One,NTRODUCTION TO Chemistry,mention material and objects made by the application of Chemistry?,Short Answers,
Chemistry,Form One,NTRODUCTION TO Chemistry,mention areas where Chemistry is applied.,Short Answers,
Chemistry,Form One,NTRODUCTION TO Chemistry,state the importance of Chemistry in daily life,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,state Chemistry,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain the concept of laboratory rules?,Short Note,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain the safety  measures needed to avoid accidents in a Chemistry  laboratory?,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,identify the possible causes of accidents in a Chemistry labaoratory?,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,Explain the use of each item in the First Aid Kit?,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain how to render First Aid in a real situation,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,list the apparatus used in a Chemistry laboratory.,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,categorize Chemistry laboratory apparatus according to their uses.,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,explain the concept of warning signs,Short Note,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,draw and label the basic chemical warning signs,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,name different heat sources which can be used in a Chemistry laborator,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,xplain the functions of a Bunsen burner.,Essay,
Chemistry,Form One,LABORATORY TECHNIQUES AND SAFETY,state the uses of both luminous and non-luminous flames,Essay,
Chemistry,Form One,THE SCIENTIFIC PROCEDURE,explain the concept of scientific procedure,Short Note,
Chemistry,Form One,THE SCIENTIFIC PROCEDURE,explain the importance of the Scientific Procedure,Essay,
Chemistry,Form One,THE SCIENTIFIC PROCEDURE,describe each step of the scientific procedure,Essay,
Chemistry,Form One,MATTER,explain the concept of matter.,Short Note,
Chemistry,Form One,MATTER,xplain with examples the meaning of matter?,Essay,
Chemistry,Form One,MATTER,describe each of the three states of matter?,Essay,
Chemistry,Form One,MATTER,ecplain processes involved in hange onestate of matter to another?,Essay,
Chemistry,Form One,MATTER,Explain the importance of changing one state of matter to  another,Essay,
Chemistry,Form One,MATTER,explain istillationprocess to form pure components of a mixture,Essay,
Chemistry,Form One,MATTER,explain on melting of metals to form alloys,Essay,
Chemistry,Form One,MATTER,describe the characteristics of a physical change,Essay,
Chemistry,Form One,MATTER,demonstrate physical changes of matter experimentally.,Essay,
Chemistry,Form One,MATTER,describe the characteristics of a chemical change.,Essay,
Chemistry,Form One,MATTER,explain the concept of an element.,Short Note,
Chemistry,Form One,MATTER,assign names and symbols to,Essay,
Chemistry,Form One,MATTER,chemical elements.,Essay,
Chemistry,Form One,MATTER,differentiate elements from other substances.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,explain the concept of compounds and mixtures.,Short Note,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,prepare a binary compound.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,compare the properties of a compound with those of its constituent elements.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,explain the concept of a mixture,Short Note,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,classify mixtures into solutions suspensions and emulsions.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,describe the different methods of separating mixtures.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,explain the significance of separating different mixtures.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,separate the components of different mixtures using different methods.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,name the gases present in air and their proportions.,Essay,
Chemistry,Form One,ELEMENTS AND COMPOUNDS,demonstrate the presence of different gases in air.,Essay,
