subject,exam_type,class,hours_of_studying,participation_in_group,group_parlagrims,individual_paralligms,assigments_individual,assigments_group,previous_marks,panctuality,Predicted Marks,Unnamed: 0
0.0,0.0,1.0,37.5,57.14285714285714,33.333333333333336,50.25,51.444444444444436,51.444444444444436,21.0,72.2222222222222,13.0,0.0
1.0,1.0,6.0,69.42760942760944,14.285714285714285,0.0,44.375,0.0,0.0,12.0,20.0,9.0,1.0
2.0,2.0,3.0,86.52612282309809,0.0,54.75,50.0,44.5,44.5,48.0,16.666666666666664,4.0,2.0
3.0,3.0,6.0,58.3596214511041,20.0,49.8,72.33333333333333,46.0,46.0,66.0,50.0,8.0,3.0
4.0,2.0,3.0,10.298742138364778,28.57142857142857,59.3,45.66666666666666,44.7,44.7,96.0,55.00000000000001,12.0,4.0
5.0,0.0,3.0,78.18756585879873,100.0,28.0,0.0,85.66666666666667,85.66666666666667,90.0,62.5,48.0,5.0
6.0,2.0,3.0,91.80187873612296,0.0,54.0,0.0,46.85714285714285,46.85714285714285,55.0,38.46153846153847,20.0,6.0
2.0,1.0,2.0,61.63384390955506,0.0,65.66666666666667,33.25,48.33333333333334,48.33333333333334,44.0,66.66666666666666,9.0,7.0
7.0,2.0,5.0,55.55555555555557,0.0,77.66666666666667,54.25,63.66666666666666,63.66666666666666,59.0,46.66666666666666,0.0,8.0
8.0,0.0,1.0,70.33639143730886,75.0,38.0,45.14285714285714,52.28571428571429,52.28571428571429,66.0,60.0,28.0,9.0
6.0,2.0,5.0,64.44444444444444,50.0,64.55555555555556,37.9,63.111111111111114,63.111111111111114,82.0,73.33333333333333,24.0,10.0
5.0,4.0,1.0,89.3258426966292,60.0,34.75,54.8,73.0,73.0,35.0,66.66666666666666,22.0,11.0
4.0,0.0,5.0,71.4827096162956,0.0,57.4,48.25,46.8,46.8,42.0,60.0,7.0,12.0
9.0,4.0,1.0,25.609756097560968,100.0,55.77777777777778,0.0,43.444444444444436,43.444444444444436,86.0,61.111111111111114,34.0,13.0
